Sample	Raw_Seq_Num	Raw_bases_Num(Gbp)	Clean_Seq_Num	Clean_bases_Num(Gbp)	UniVec_Seq_Num	rRNA_Seq_Num	miRNA_Seq_Num	tRNA_Seq_Num	piRNA_Seq_Num	Genome_Seq_Num	Genome_Rmdup_Seq_Num	Read_Distribution_exon	Read_Distribution_intron	Read_Distribution_intergenic	Non_Zero_Gene_Counts	Non_Zero_mRNA_Gene_Counts	Non_Zero_lncRNA_Gene_Counts	Infer_Experiment	Featurecount_Assigned
SRR10822555	75774574	9.8	75771798 (100.0%)	9.6	302862 (0.4%)	53380 (0.07%)	928 (0.0%)	100 (0.0%)	4050 (0.01%)	37252030 (49.4%)	18373615 (49.32%)	26.09%	44.57%	29.34%	45084	19084	13540	37.06% | 55.22%	24.90%
SRR10822556	66877916	9.37	66873876 (99.99%)	9.2	127648 (0.19%)	10604 (0.02%)	50 (0.0%)	8 (0.0%)	728 (0.0%)	46229754 (69.27%)	20611156 (44.58%)	15.35%	51.98%	32.66%	51648	19252	15523	39.77% | 52.75%	15.89%
SRR10822557	64700674	8.95	64695906 (99.99%)	8.8	98666 (0.15%)	54964 (0.09%)	90 (0.0%)	116 (0.0%)	1242 (0.0%)	43046273 (66.7%)	11173043 (25.96%)	42.13%	34.98%	22.88%	44797	19018	13714	28.38% | 61.21%	36.63%
SRR10822558	61469804	8.47	61465994 (99.99%)	8.4	62802 (0.1%)	31874 (0.05%)	98 (0.0%)	220 (0.0%)	3058 (0.0%)	42132975 (68.66%)	7832096 (18.59%)	55.86%	27.57%	16.57%	39594	18610	11901	22.81% | 65.94%	49.79%
SRR10822559	66144156	9.14	66141276 (100.0%)	9.0	76644 (0.12%)	27388 (0.04%)	80 (0.0%)	56 (0.0%)	1876 (0.0%)	45811755 (69.37%)	16212713 (35.39%)	28.19%	44.93%	26.88%	49664	19232	15110	31.16% | 59.29%	25.27%
SRR10822560	77127692	10.73	77123706 (99.99%)	10.5	39036 (0.05%)	38758 (0.05%)	78 (0.0%)	154 (0.0%)	2170 (0.0%)	53740405 (69.75%)	12611519 (23.47%)	45.88%	33.35%	20.76%	45882	19039	14054	24.48% | 63.1%	40.37%
SRR10822561	74212610	9.64	74209200 (100.0%)	9.5	180042 (0.24%)	83822 (0.11%)	114 (0.0%)	292 (0.0%)	3402 (0.0%)	40953648 (55.39%)	13371491 (32.65%)	66.3%	22.22%	11.49%	40607	18487	12277	11.39% | 77.58%	59.75%
SRR10822562	76207052	9.67	76203608 (100.0%)	9.5	138792 (0.18%)	17864 (0.02%)	90 (0.0%)	22 (0.0%)	2216 (0.0%)	22963872 (30.2%)	9988539 (43.5%)	62.76%	27.46%	9.78%	37336	18018	10848	8.77% | 79.6%	56.71%
SRR10822563	63899000	8.77	63896072 (100.0%)	8.7	47752 (0.07%)	125886 (0.2%)	198 (0.0%)	30 (0.0%)	1378 (0.0%)	41778527 (65.56%)	9281091 (22.21%)	38.8%	38.73%	22.47%	43163	18969	13073	27.7% | 62.86%	35.57%
SRR10822564	66827972	9.24	66823890 (99.99%)	9.1	108562 (0.16%)	51382 (0.08%)	100 (0.0%)	34 (0.0%)	1128 (0.0%)	44243141 (66.37%)	11847596 (26.78%)	42.44%	38.7%	18.85%	45051	19045	13701	22.24% | 69.3%	37.79%
SRR10822566	78943032	10.85	78938902 (99.99%)	10.7	83428 (0.11%)	102240 (0.13%)	198 (0.0%)	120 (0.0%)	1442 (0.0%)	50901251 (64.64%)	11320965 (22.24%)	67.04%	20.45%	12.52%	38797	18676	11398	18.8% | 70.56%	61.49%
SRR10822567	76449964	10.26	76446572 (100.0%)	10.1	278284 (0.36%)	82700 (0.11%)	418 (0.0%)	68 (0.0%)	2602 (0.0%)	43706745 (57.45%)	17366739 (39.73%)	32.6%	42.74%	24.67%	48743	19272	14788	31.71% | 59.69%	29.50%
SRR10822568	69919914	9.69	69916188 (99.99%)	9.5	121366 (0.17%)	83406 (0.12%)	114 (0.0%)	136 (0.0%)	1562 (0.0%)	46539674 (66.76%)	9411310 (20.22%)	59.78%	28.04%	12.18%	40062	18625	11894	13.72% | 75.1%	53.85%
SRR10822569	73489862	9.7	73486732 (100.0%)	9.6	43272 (0.06%)	69932 (0.1%)	868 (0.0%)	284 (0.0%)	2518 (0.0%)	41863567 (57.06%)	13664170 (32.64%)	32.68%	41.01%	26.31%	42622	18885	12768	34.73% | 58.61%	29.69%
SRR10822570	62910640	8.27	62908534 (100.0%)	8.1	60044 (0.1%)	25490 (0.04%)	62 (0.0%)	70 (0.0%)	2618 (0.0%)	39503969 (62.88%)	6811377 (17.24%)	81.28%	15.39%	3.33%	25512	15268	6062	3.64% | 83.72%	78.43%
